"","x_names","importance","RSimportance","order","rel_imp"
"2541","phenoRange",-64.6014369725934,-1,1,0.256774531656237
"2548","phenoRange",-60.719401767063,-1,1,0.256995434648755
"2555","phenoRange",-60.7190940704788,-1,1,0.257014074736799
"2562","phenoRange",-63.0425395231242,-1,1,0.290473144710361
"2569","phenoRange",-64.5820990919216,-1,1,0.256727643670015
"2583","phenoRange",-63.6850965089444,-1,1,0.295069166160464
"2590","phenoRange",-63.0398288394462,-1,1,0.290366330073742
"2597","phenoRange",-56.6635400652706,-1,1,0.168721105697679
"2604","phenoRange",-60.7083362762713,-1,1,0.256961869490425
"2611","phenoRange",-65.9679665593638,-1,1,0.304874662883934
"2618","phenoRange",-58.4183978391415,-1,1,0.19564368618473
"2625","phenoRange",-62.8481075571436,-1,1,0.290421459574854
"2632","phenoRange",-60.7301523993779,-1,1,0.257049287934782
"2639","phenoRange",-62.8549434228698,-1,1,0.290427417255256
"2653","phenoRange",-60.7157341286498,-1,1,0.256994711314358
"2667","phenoRange",-63.0479832916216,-1,1,0.290445346913036
"2681","phenoRange",-60.7101240766618,-1,1,0.256998381902206
"2688","phenoRange",-59.6461509532607,-1,1,0.282625230458607
"2695","phenoRange",-63.0410348536756,-1,1,0.29038648985485
"2702","phenoRange",-60.7096202232454,-1,1,0.256943890443501
"2709","phenoRange",-62.8484489145805,-1,1,0.290478563229874
"2716","phenoRange",-60.7114175064164,-1,1,0.256956687245052
"2723","phenoRange",-62.8493233754199,-1,1,0.290523884054487
"2737","phenoRange",-60.7303157553294,-1,1,0.257007068812682
"2744","phenoRange",-59.6511616837305,-1,1,0.282459887187595
"2751","phenoRange",-60.7465468825202,-1,1,0.27026852806936
"2758","phenoRange",-62.8541277658067,-1,1,0.290383022546369
"2765","phenoRange",-60.7092195893351,-1,1,0.257004794037702
"2772","phenoRange",-59.6429849377488,-1,1,0.282559155706954
"2779","phenoRange",-63.0372281084993,-1,1,0.290415033332992
"2793","phenoRange",-60.7084865846066,-1,1,0.256963091156973
"2800","phenoRange",-59.6524501524244,-1,1,0.282688431801339
"2807","phenoRange",-66.7894901307245,-1,1,0.327243351793027
"2814","phenoRange",-60.7448788893414,-1,1,0.270327923798603
"2821","phenoRange",-63.036710383247,-1,1,0.290479729442046
