"","x_names","importance","RSimportance","rank","absrank","iter","rel_imp"
"3596","polyC1",-69.9901183871478,-1,1,1,327,0.0911805105097176
"3607","polyC1",-157.127186050254,-1,1,1,328,0.141246054363982
"3618","polyC1",-99.688661086483,-1,1,1,329,0.0903729447659194
"3629","polyC1",-76.1028047409805,-1,1,1,330,0.102069623509504
"3640","polyC1",-121.603777316747,-1,1,1,331,0.105400083035436
"3661","phenoRange",-132.740594237777,-1,1,1,333,0.162974306668054
"3706","polyC1",-90.3303786837753,-1,1,1,337,0.0868282779255331
"3723","naLongMax",-152.831690506662,-1,1,1,339,0.14380234058453
"3745","naLongMax",-110.661947453109,-1,1,1,341,0.116900494622474
"3772","polyC1",-60.9193920963816,-1,1,1,343,0.129144819768376
"3783","polyC1",-109.871249230228,-1,1,1,344,0.07083790802623
"3794","polyC1",-80.8290030264183,-1,1,1,345,0.0580531854636754
"3800","naLongMax",-66.4171031888781,-1,1,1,346,0.067149597525384
"3827","polyC1",-111.509589816549,-1,1,1,348,0.0701292269856608
"3849","polyC1",-126.575739344972,-1,1,1,350,0.124111906696921
"3904","polyC1",-124.755706669076,-1,1,1,355,0.105146469439523
"3913","phenoMean",-95.1339748135503,-1,1,1,356,0.0939647780423635
"3921","naLongMax",-140.737195345221,-1,1,1,357,0.139925015723755
"3937","polyC1",-98.192203176762,-1,1,1,358,0.116262444016575
"3948","polyC1",-102.241361795638,-1,1,1,359,0.123963493313597
"3970","polyC1",-92.3606119774921,-1,1,1,361,0.111846479621444
"4014","polyC1",-122.09581695803,-1,1,1,365,0.112335696041514
"4047","polyC1",-122.033213230551,-1,1,1,368,0.108570564856599
"4052","naLatMin",-79.6976552751402,-1,1,1,369,0.0459172607270696
"4069","polyC1",-112.122536452357,-1,1,1,370,0.0733477615177418
"4091","polyC1",-101.772796427399,-1,1,1,372,0.125208978589195
"4097","naLongMax",-92.5094765599543,-1,1,1,373,0.0990265680737183
"4124","polyC1",-101.765591291558,-1,1,1,375,0.152379790662937
"4135","polyC1",-149.229294612987,-1,1,1,376,0.102452642194925
"4168","polyC1",-78.5456735546301,-1,1,1,379,0.0687470343545288
"4178","phenoRange",-116.259922063747,-1,1,1,380,0.0883796950775961
"4201","polyC1",-108.830351660489,-1,1,1,382,0.0827482776182957
"4212","polyC1",-103.813972573924,-1,1,1,383,0.0907058707667778
"4344","polyC1",-127.046219338484,-1,1,1,395,0.110814462227029
"4355","polyC1",-134.451195416813,-1,1,1,396,0.0867068376138378
"4399","polyC1",-146.902188440617,-1,1,1,400,0.100208453091261
"4421","polyC1",-116.819565633458,-1,1,1,402,0.0758629694236074
"4432","polyC1",-168.770923958049,-1,1,1,403,0.0739532381103761
"4443","polyC1",-54.3776607712977,-1,1,1,404,0.112837959514146
"4498","polyC1",-139.238481149492,-1,1,1,409,0.100178340026101
"4520","polyC1",-169.872427467894,-1,1,1,411,0.128497220325034
"4526","naLongMax",-62.4666117485275,-1,1,1,412,0.126661689759848
"4553","polyC1",-136.634985645441,-1,1,1,414,0.103028563464575
"4564","polyC1",-104.105740978452,-1,1,1,415,0.084919686789833
"4575","polyC1",-131.922718284889,-1,1,1,416,0.102119951601492
"4586","polyC1",-137.549689641496,-1,1,1,417,0.115624869183847
"4597","polyC1",-156.456437650836,-1,1,1,418,0.0777093171660219
"4608","polyC1",-119.326115438084,-1,1,1,419,0.0910750997615937
"4630","polyC1",-91.0915084968144,-1,1,1,421,0.0816548762812238
"4647","naLongMax",-100.812160095252,-1,1,1,423,0.119346995287504
"4663","polyC1",-87.1222088016471,-1,1,1,424,0.0686552627953936
"4674","polyC1",-130.232704447556,-1,1,1,425,0.0884100523150694
"4685","polyC1",-84.3194734751718,-1,1,1,426,0.111161303474141
"4707","polyC1",-133.595249228288,-1,1,1,428,0.0883209200795766
"4718","polyC1",-121.259630917101,-1,1,1,429,0.0862557820879472
"4751","polyC1",-86.5220384124827,-1,1,1,432,0.0422083850964034
"4762","polyC1",-99.2047866912088,-1,1,1,433,0.109763678248869
"4784","polyC1",-108.035979852528,-1,1,1,435,0.10340130928904
"4800","naLatMin",-72.9232363535746,-1,1,1,437,0.0721575387421988
"4812","naLongMax",-108.795337456431,-1,1,1,438,0.0935963677400686
"4849","phenoRange",-101.44786667371,-1,1,1,441,0.106032363076012
"4858","oliG1",-84.859325917123,-1,1,1,442,0.118483268961033
"4878","naLongMax",-150.083473452896,-1,1,1,444,0.151514149247983
"4893","phenoRange",-74.1923002782545,-1,1,1,445,0.0471690617089592
"4905","polyC1",-98.7406229356573,-1,1,1,446,0.105908750412637
"4916","polyC1",-149.1390924359,-1,1,1,447,0.120557113567331
"4927","polyC1",-172.363430117722,-1,1,1,448,0.100456197420294
"4971","polyC1",-69.2134626782504,-1,1,1,452,0.0541282682549942
"5004","polyC1",-116.91562752777,-1,1,1,455,0.115815923417944
"5037","polyC1",-109.153855088385,-1,1,1,458,0.0631031181090798
"5059","polyC1",-122.990225498235,-1,1,1,460,0.0742514728721575
"5065","naLongMax",-82.1361925808456,-1,1,1,461,0.0845145571044092
"5081","polyC1",-155.400213287498,-1,1,1,462,0.128299773590627
"5147","polyC1",-128.54225398838,-1,1,1,468,0.101722488435376
"5158","polyC1",-90.8052528777627,-1,1,1,469,0.101313192959808
"5164","naLongMax",-112.176644437494,-1,1,1,470,0.146721778558731
