"","x_names","importance","RSimportance","order","rel_imp"
"1904","phenoRange",-87.8992303898419,-1,1,0.13099915307858
"1922","naLongMax",-68.8784868599778,-1,1,0.214628611847726
"1953","phenoRange",-87.8029852945049,-1,1,0.151762978136162
"1960","phenoRange",-64.7344952195126,-1,1,0.14881130736831
"1967","phenoRange",-118.087083603154,-1,1,0.157462226786898
"1974","phenoRange",-97.4912840485567,-1,1,0.206342348709053
"1995","phenoRange",-75.9842148200202,-1,1,0.1538293099236
"2003","ITD",-48.6122537232322,-1,1,0.389183492120633
"2010","ITD",-69.9287857160455,-1,1,0.255672908998753
"2023","phenoRange",-132.16149036974,-1,1,0.223388796046903
"2035","naLongMin",-118.219325609907,-1,1,0.149080079606242
"2054","naLatMin",-85.1614518329644,-1,1,0.168829563608031
"2063","naLongMin",-62.4869787845669,-1,1,0.162905541808163
"2072","phenoRange",-87.7826827087363,-1,1,0.151801837811992
"2079","phenoRange",-127.410471919063,-1,1,0.244451102237542
"2086","phenoRange",-102.600247103793,-1,1,0.204213623306625
"2093","phenoRange",-125.062388128323,-1,1,0.251147280074515
"2107","phenoRange",-135.872678778732,-1,1,0.2317853874008
"2114","phenoRange",-72.8959941161527,-1,1,0.141583745659235
"2135","phenoRange",-103.276512669375,-1,1,0.204243839714099
"2142","phenoRange",-69.4160231321908,-1,1,0.252671360470587
"2145","naLatMin",-46.2642786961952,-1,1,0.126846485140917
"2153","naLongMax",-55.450642007124,-1,1,0.110515691415536
"2170","phenoRange",-123.754159593554,-1,1,0.200546123202598
"2175","naLongMin",-48.2733171777911,-1,1,0.324843472853134
"2181","naLongMax",-83.9626606997085,-1,1,0.102273169142011
"2205","phenoRange",-106.010224364654,-1,1,0.193624891433872
"2212","phenoRange",-51.5686608449587,-1,1,0.235734818490004
"2226","phenoRange",-87.8060210944542,-1,1,0.151744483360689
"2233","phenoRange",-145.373261595447,-1,1,0.259909682611903
"2247","phenoRange",-124.089712022331,-1,1,0.227447393142992
"2261","phenoRange",-105.131659090708,-1,1,0.154891051494856
"2268","phenoRange",-90.0012752562975,-1,1,0.134033407836391
"2275","phenoRange",-94.3842942166174,-1,1,0.130685589058442
"2279","naLongMax",-74.0765015624422,-1,1,0.145697975626702
"2286","naLongMax",-59.0553936635955,-1,1,0.135356369235692
"2293","naLongMax",-70.1380919577296,-1,1,0.144273699743344
"2301","naLongMin",-87.9340114646069,-1,1,0.199166660275656
"2310","phenoRange",-87.3518476434156,-1,1,0.144868041999617
"2324","phenoRange",-61.9823308614291,-1,1,0.0738367831313582
"2338","phenoRange",-119.020379779631,-1,1,0.225169938874892
"2340","naLatMax",-57.144008276315,-1,1,0.0962903251610899
"2366","phenoRange",-117.23658595802,-1,1,0.204138267141656
"2371","naLongMin",-118.142432049704,-1,1,0.148944849829481
"2380","phenoRange",-108.977521736188,-1,1,0.25492650929109
"2387","phenoRange",-139.341894859257,-1,1,0.260945670845225
"2394","phenoRange",-153.004961905208,-1,1,0.200433004755944
"2396","naLatMax",-93.7278502744346,-1,1,0.13729422922649
"2420","naLongMin",-48.852306081032,-1,1,0.0896230713042598
"2429","phenoRange",-153.191920225702,-1,1,0.224913163618894
"2450","phenoRange",-71.8184152018337,-1,1,0.141371801653772
"2467","naLatMin",-83.5618957316037,-1,1,0.15245682792999
"2478","phenoRange",-153.217519573271,-1,1,0.224903584828958
"2499","phenoRange",-108.680724983398,-1,1,0.219656458365991
"2504","naLongMin",-46.6703089448978,-1,1,0.0824426370520907
"2511","naLongMin",-67.3817710500506,-1,1,0.176550980601068
"2520","phenoRange",-82.5919786679497,-1,1,0.120536464786066
"2531","naLongMax",-71.9465680781912,-1,1,0.145630260610561
"2548","phenoRange",-85.9319293915671,-1,1,0.151442208777702
"2562","phenoRange",-155.83626131634,-1,1,0.201464686889302
"2569","phenoRange",-71.8475154741671,-1,1,0.17302856538522
"2570","ITD",-69.9379675677171,-1,1,0.25566709655446
"2577","ITD",-80.4520090625786,-1,1,0.218955878556732
"2597","phenoRange",-110.162435401507,-1,1,0.158736106551937
"2604","phenoRange",-110.410669431185,-1,1,0.199430171071182
"2606","naLatMax",-69.1505463153097,-1,1,0.140301736760495
"2618","phenoRange",-117.513429599376,-1,1,0.24105524028522
"2625","phenoRange",-124.803558508007,-1,1,0.290618639295358
"2630","naLongMin",-120.520772457758,-1,1,0.159184132775254
